pago_id,monto,fecha,uid,subs_id,pid,pro_id
9609,3700,2021-02-16,8,336.0,,
6495,4500,2021-09-02,35,11.0,,
8369,3500,2021-05-13,22,206.0,,
9625,3700,2021-08-21,8,337.0,,
8598,3500,2021-10-17,28,230.0,,
9693,6500,2020-11-13,17,343.0,,
7723,6500,2021-10-24,36,141.0,,
10716,9500,2021-12-13,106,,21.0,7.0
9895,7100,2021-05-23,64,364.0,,
9409,3900,2021-10-30,134,316.0,,
9717,3900,2020-11-30,130,346.0,,
10113,3900,2020-10-25,4,398.0,,
8075,3900,2021-07-09,34,177.0,,
7735,6500,2021-07-03,36,143.0,,
6422,3100,2021-08-01,48,5.0,,
9058,4400,2020-11-04,46,277.0,,
10339,4400,2021-03-13,90,417.0,,
7036,5000,2021-10-15,10,65.0,,
10345,4400,2021-09-13,90,417.0,,
7538,4500,2021-10-21,2,123.0,,
9403,3100,2021-09-09,31,315.0,,
6952,6500,2021-05-28,108,57.0,,
10228,7400,2021-10-05,115,409.0,,
8670,3700,2021-01-16,54,239.0,,
9596,3700,2021-07-23,61,332.0,,
6655,4000,2021-04-25,9,28.0,,
8857,4000,2021-02-07,56,258.0,,
9639,3100,2021-05-28,5,338.0,,
9663,4000,2021-10-20,5,340.0,,
9118,6500,2020-11-04,77,285.0,,
8097,3700,2020-10-28,21,180.0,,
9797,7100,2021-08-20,119,352.0,,
6728,6400,2021-02-11,62,36.0,,
8512,6500,2021-12-14,7,222.0,,
8214,6400,2021-09-30,13,191.0,,
9054,6500,2021-12-29,23,276.0,,
6507,6400,2020-09-18,45,13.0,,
10353,2800,2020-12-12,90,419.0,,
8157,6400,2021-07-07,18,186.0,,
7861,3700,2020-08-14,57,155.0,,
7175,6500,2021-10-20,133,83.0,,
7417,6500,2021-07-13,51,111.0,,
8798,3900,2021-11-12,16,251.0,,
8161,6400,2021-11-07,18,186.0,,
10325,3200,2021-06-04,6,416.0,,
7211,3500,2021-02-04,70,88.0,,
6760,3500,2021-01-05,62,39.0,,
9332,4000,2021-10-26,24,305.0,,
10700,7000,2021-05-22,64,,59.0,3.0
8392,2800,2021-10-21,22,208.0,,
10129,4500,2020-11-22,4,400.0,,
9845,6500,2021-09-30,119,358.0,,
6731,6400,2021-05-11,62,36.0,,
8119,4000,2021-04-25,21,182.0,,
9406,3900,2021-07-30,134,316.0,,
8004,3200,2021-06-02,14,170.0,,
8981,4000,2021-03-28,23,269.0,,
7532,4500,2021-04-21,2,123.0,,
8995,4000,2020-12-28,23,269.0,,
10672,6500,2021-08-04,17,,26.0,6.0
10190,3700,2021-10-30,93,406.0,,
7768,4000,2021-09-23,36,145.0,,
6792,6500,2020-08-22,105,42.0,,
10387,8500,2021-03-04,141,,99.0,9.0
7369,6400,2021-05-08,37,106.0,,
10439,9500,2021-11-11,9,,97.0,13.0
